CustomerKey,CustomerID,CustomerName,Gender,AgeGroup,City,Region,Country,CustomerSegment,LoyaltyTier
1,C00001,Customer 1,F,18-25,Delhi,North,India,Small Business,Bronze
2,C00002,Customer 2,F,36-50,Hyderabad,Central,India,Consumer,Silver
3,C00003,Customer 3,M,36-50,Delhi,North,India,Small Business,Gold
4,C00004,Customer 4,F,36-50,Delhi,North,India,Consumer,Gold
5,C00005,Customer 5,F,36-50,Bengaluru,South,India,Consumer,Bronze
6,C00006,Customer 6,M,26-35,Delhi,North,India,Consumer,Bronze
7,C00007,Customer 7,M,36-50,Hyderabad,Central,India,Corporate,Silver
8,C00008,Customer 8,M,36-50,Bengaluru,South,India,Consumer,Bronze
9,C00009,Customer 9,F,26-35,Hyderabad,Central,India,Consumer,Bronze
10,C00010,Customer 10,M,36-50,Kolkata,East,India,Consumer,Silver
11,C00011,Customer 11,F,50+,Hyderabad,Central,India,Corporate,Bronze
12,C00012,Customer 12,M,50+,Bengaluru,South,India,Consumer,Bronze
13,C00013,Customer 13,M,26-35,Delhi,North,India,Corporate,Bronze
14,C00014,Customer 14,F,50+,Delhi,North,India,Consumer,Bronze
15,C00015,Customer 15,M,18-25,Mumbai,West,India,Consumer,Silver
16,C00016,Customer 16,F,18-25,Mumbai,West,India,Consumer,Bronze
17,C00017,Customer 17,F,26-35,Delhi,North,India,Consumer,Bronze
18,C00018,Customer 18,M,26-35,Mumbai,West,India,Consumer,Bronze
19,C00019,Customer 19,M,36-50,Hyderabad,Central,India,Consumer,Bronze
20,C00020,Customer 20,F,26-35,Mumbai,West,India,Consumer,Gold
21,C00021,Customer 21,M,50+,Delhi,North,India,Corporate,Platinum
22,C00022,Customer 22,M,26-35,Hyderabad,Central,India,Consumer,Gold
23,C00023,Customer 23,F,50+,Bengaluru,South,India,Small Business,Gold
24,C00024,Customer 24,F,50+,Bengaluru,South,India,Small Business,Silver
25,C00025,Customer 25,F,18-25,Kolkata,East,India,Consumer,Bronze
26,C00026,Customer 26,M,26-35,Delhi,North,India,Consumer,Silver
27,C00027,Customer 27,M,18-25,Delhi,North,India,Small Business,Gold
28,C00028,Customer 28,M,36-50,Delhi,North,India,Consumer,Bronze
29,C00029,Customer 29,F,26-35,Bengaluru,South,India,Corporate,Gold
30,C00030,Customer 30,M,18-25,Bengaluru,South,India,Consumer,Bronze
31,C00031,Customer 31,F,18-25,Kolkata,East,India,Consumer,Platinum
32,C00032,Customer 32,M,50+,Delhi,North,India,Corporate,Gold
33,C00033,Customer 33,M,26-35,Delhi,North,India,Consumer,Bronze
34,C00034,Customer 34,M,36-50,Kolkata,East,India,Consumer,Gold
35,C00035,Customer 35,F,18-25,Delhi,North,India,Consumer,Platinum
36,C00036,Customer 36,M,26-35,Delhi,North,India,Consumer,Bronze
37,C00037,Customer 37,F,18-25,Bengaluru,South,India,Consumer,Bronze
38,C00038,Customer 38,F,50+,Kolkata,East,India,Consumer,Silver
39,C00039,Customer 39,F,26-35,Hyderabad,Central,India,Consumer,Bronze
40,C00040,Customer 40,M,36-50,Delhi,North,India,Consumer,Silver
41,C00041,Customer 41,M,18-25,Hyderabad,Central,India,Small Business,Bronze
42,C00042,Customer 42,M,18-25,Bengaluru,South,India,Consumer,Bronze
43,C00043,Customer 43,M,18-25,Delhi,North,India,Consumer,Bronze
44,C00044,Customer 44,F,36-50,Hyderabad,Central,India,Consumer,Silver
45,C00045,Customer 45,F,50+,Bengaluru,South,India,Consumer,Silver
46,C00046,Customer 46,F,18-25,Kolkata,East,India,Consumer,Silver
47,C00047,Customer 47,M,18-25,Hyderabad,Central,India,Consumer,Silver
48,C00048,Customer 48,F,18-25,Bengaluru,South,India,Corporate,Bronze
49,C00049,Customer 49,F,36-50,Bengaluru,South,India,Consumer,Platinum
50,C00050,Customer 50,M,36-50,Hyderabad,Central,India,Small Business,Bronze
51,C00051,Customer 51,F,18-25,Bengaluru,South,India,Corporate,Silver
52,C00052,Customer 52,F,36-50,Bengaluru,South,India,Consumer,Silver
53,C00053,Customer 53,F,50+,Bengaluru,South,India,Consumer,Gold
54,C00054,Customer 54,M,50+,Delhi,North,India,Corporate,Bronze
55,C00055,Customer 55,M,36-50,Mumbai,West,India,Consumer,Bronze
56,C00056,Customer 56,M,18-25,Kolkata,East,India,Consumer,Gold
57,C00057,Customer 57,M,36-50,Bengaluru,South,India,Consumer,Bronze
58,C00058,Customer 58,M,36-50,Bengaluru,South,India,Consumer,Gold
59,C00059,Customer 59,F,26-35,Delhi,North,India,Consumer,Silver
60,C00060,Customer 60,F,26-35,Mumbai,West,India,Small Business,Bronze
61,C00061,Customer 61,M,50+,Bengaluru,South,India,Consumer,Silver
62,C00062,Customer 62,F,26-35,Mumbai,West,India,Consumer,Silver
63,C00063,Customer 63,F,18-25,Delhi,North,India,Corporate,Bronze
64,C00064,Customer 64,F,36-50,Kolkata,East,India,Corporate,Gold
65,C00065,Customer 65,M,26-35,Bengaluru,South,India,Consumer,Bronze
66,C00066,Customer 66,F,36-50,Delhi,North,India,Consumer,Bronze
67,C00067,Customer 67,F,18-25,Hyderabad,Central,India,Consumer,Platinum
68,C00068,Customer 68,F,18-25,Bengaluru,South,India,Consumer,Bronze
69,C00069,Customer 69,F,18-25,Mumbai,West,India,Consumer,Silver
70,C00070,Customer 70,M,50+,Mumbai,West,India,Consumer,Gold
71,C00071,Customer 71,M,36-50,Hyderabad,Central,India,Consumer,Gold
72,C00072,Customer 72,F,18-25,Mumbai,West,India,Corporate,Bronze
73,C00073,Customer 73,F,36-50,Mumbai,West,India,Consumer,Bronze
74,C00074,Customer 74,M,50+,Bengaluru,South,India,Consumer,Bronze
75,C00075,Customer 75,F,50+,Bengaluru,South,India,Consumer,Bronze
76,C00076,Customer 76,M,50+,Mumbai,West,India,Corporate,Silver
77,C00077,Customer 77,F,50+,Mumbai,West,India,Consumer,Bronze
78,C00078,Customer 78,M,18-25,Kolkata,East,India,Consumer,Silver
79,C00079,Customer 79,F,18-25,Hyderabad,Central,India,Corporate,Silver
80,C00080,Customer 80,M,26-35,Mumbai,West,India,Consumer,Bronze
81,C00081,Customer 81,M,50+,Kolkata,East,India,Consumer,Silver
82,C00082,Customer 82,F,50+,Bengaluru,South,India,Consumer,Bronze
83,C00083,Customer 83,M,50+,Delhi,North,India,Consumer,Gold
84,C00084,Customer 84,F,18-25,Hyderabad,Central,India,Consumer,Gold
85,C00085,Customer 85,F,26-35,Delhi,North,India,Corporate,Silver
